utterance,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents
Please cancel the 20 th February's vacation.,20 th February,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Can you cancel august first vacations,August first,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
i need to cancel my existing vacations that started on june 03th,june 03th,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
i want to cancel vacations,15/02/2020,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Cancel my vacations that are supposed to star on july 23,23-Jul,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
please cancel my vacation from date 22/02//2020,22/02/2020,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
"Hi, I want to cancel a vacation that was scheduled for july 20th.",july 20th,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
I have to cancel a vacation that starts from January 12th to health problems,January 12th,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Iwant to cancel my holiday pending,30-May,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
your vacation on april 3 was cancelled,3-Apr,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
"The program has been postponed, Im canceling my existing vacation which is dated on 4th Jun",4th Jun,,,,,,,Start Date of Vacation,,,,,,Cancel an existing vacation
Could you approve Diana's vacation?,Diana,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
give aprovement to andrew's vacation solicitation,andrew,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
the nela vacations was approved,nela,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
Approve Jessica's request for vacation please,Jessica,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
Please approve Jonas Perl vacations,Jonas Perl,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
Please approve Lisa's Maternity Leave vacation.,Lisa,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
"I need the approvation for Mr. David vacation for tomorrow, please",Mr. David,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
i want u to approve Alex Smith's vacation in nest ten days please,alex smith,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
get paul the requested vacation.,paul,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
I just approved vacations for Elton Klent.,Elton Klent,,,,,,,Who is being approved for vacation (i.e. name),,,,,,Approve someone's vacation
the vacation of Mr Medo is not approved,Mr Medo,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
I need to reject the vacations request from Michael,Michael,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
Cancel vacation of Maria Potapova in July.,Maria Potapova,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
Cancel Ariel's vacation for March 23,Ariel,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
i want change my vacation from my 18 to may 23 to be between january 5th and february 11th,18-May,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
i want to cancel henry melendez vacation,henry melendez,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
"Please, I need to cancel Phillip's vacations, He will work at that dates.",Phillip,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
cancel the holidays that are up to jose please,jose,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
dismiss the vacation for john please.,john,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
isabel your vacation was cancelled,isabel,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
Please cance Sam Ronster vacations,Sam Ronster,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
Nikola would cancel the request for a vacation dated the 8th of July.,Nikola,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
Kindly cancel Jake's vacation as we need this to finish a special project.,Jake,,,,,,,Who is being rejected (i.e. name),,,,,,Cancel someone's vacation
the vacation of Ms Sally is approved for the reason she provide and the vacation of Mr Reco is rejected,Ms Sally,Mr Reco,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
Please cancel Trevor's vacations and aprove Lucille's,Lucille,Trevor,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
Approve vacation of Dima Holyi in July and cancel vacation of Marsha Potya in July.,Dima Holyi,Marsha Potya,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
Approve Maria's vacation scheduled for March 12 and cancel Jean's vacation scheduled for March 12.,Maria,Jean,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
"Gabriel Betancourt vacations are approved, cancel Marlin Ibarra vacations",Gabriel Betancourt,Marlin Ibarra,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
i wat change my vacation from may 5 to jun 19 to be between jun 7th and agost 2,5-May,7-Jun,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
"We need to cancel Mr. Jose vacation for health problem, and in change we are going to aapproved Mr. Angel vacation",Mr. Angel,Mr. Jose,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
the vacation of henry was approved and the vacation of melendez was rejected,henry,melendez,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
Please approve the vacations of Lisa and I need you reject the John's.,Lisa,John,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
approve me the vacations to melissa and cancel those granted to ana,melissa,ana,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
reject fred's vacation and approve mary's vacation.,mary,fred,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
Please aprove Accel Jones vacations and reject Ronald Peter,Accel Jones,Ronald Peter,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
"Hello, could you modify the vacation schedule in rejecting Jim's request and approving Mike's instead? We have some new issues coming in the picture and only Mike can help.",Mike,Jim,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
We approved the vacation of Raju and rejected that of Ravi,Raju,Ravi,,,,,,Who is being approved for vacation (i.e. name),Who is being rejected (i.e. name),,,,,Approve someone's vacation and cancel someone else's vacation
What is Mark's vacation balance?,Mark,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
Peter wish to know how many days of his vacations left,Peter,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
Search for me Martin Ramson vacation days,Martin Ramson,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
What is the vacation balance of Sara?,Sara,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
how many days of vacation do i have left,days of vacation,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
tell me the vacation balance of david,david,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
When is Adam's upcoming vacation?,Adam,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
inder sick leave vacation balance,sick leave,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
what is the vacation balance of jesus,jesus,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
Please let me know of the details regarding Simon's vacation balance,Simon,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
How much money will Torres get for the vacation,How much does Torres have for a vacation,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
Ms. Dana i need to know the current vacation balance,Ms. Dana,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
I want to know about Martin Smith vacations.,Martin Smith,,,,,,,Who are you asking about,,,,,,Ask about an employee's vacation balance
inder accountant requesting a lettet to hr about salary,inder,salary,accountant,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
I want to change ty vacation from jan 3rd to feb 23 tobe between january 6th and february 10th.,jan 3rd,23-Feb,january 7th,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
how many free vacation days do i have now as director,hr department,vacation days,director,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
"henry melendez manager , he want to know about your minimium wage",henry melendez,minimium,manager,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter
i want to change my vacation from jan 3rd to feb 23 to be between january 7th and february 10th,jan 3rd,,,,,,,Date requested for HR letter,,,,,,Canceling request for an HR letter
i wath change my vacation from sep 9 to sep 25,9-Sep,25-Sep,4-Feb,27-Feb,sick leabe,,,Name of person being interviewed,Date of Interview,Time of Interview,"Duration of Interview (1 hour, 30 minutes)",Location of Interview,,Schedule an interview with someone
